行政區,收容所名稱,地址,經度,緯度,最大容納人數,可支援收容災害類型
關廟區,文和實小,臺南市關廟區長文街37號,120.3428,22.917,400,"水災、震災
"
龍崎區,龍崎國小,臺南市龍崎區新市子41號,120.35906,22.964425,200,"震災
"
永康區,永康國民小學,中山南路637號,120.24811,23.027954,1166,"水災、震災
"
永康區,埔園龍埔里活動中心,永大路三段618巷111號,120.252374,23.040107,132,"水災、震災
"
永康區,永康區體一運動公園,中正北路底豐化橋南端,120.2405,23.0095,12800,"震災
"
永康區,永康公園,興國街100號,120.2427,23.003,9300,"震災
"
永康區,探索教育公園,永大三路30號,120.2579,23.0266,12000,"震災
"
永康區,崑山里活動中心,崑山街222巷11號,120.2602,23.0048,84,"震災
"
永康區,崑山國民小學,國光五街72號,120.258234,23.006163,1400,"震災
"
永康區,龍潭國民小學,龍潭街214號,120.26729,23.034289,1113,"水災、震災
"
永康區,台南應用科技大學,中正路529號,120.23848,23.039352,1800,"水災、震災
"
永康區,永仁高級中學,忠孝路74號,120.240169,23.003345,1855,"水災、震災
"
東區,德光里活動中心,臺南市東區崇德路111號,120.2188,22.9806,1400,"水災、震災
"
東區,裕聖里活動中心,臺南市東區裕文路286號,120.2464,22.9817,250,"水災、震災
"
東區,自強里活動中心,臺南市東區富農街一段225號,120.2352,22.984,200,"水災、震災
"
東區,復興里活動中心,臺南市東區裕忠路456號,120.2416,22.9803,230,"水災、震災
"
東區,龍山社區活動中心,臺南市東區林森路一段311號,120.2193,22.9836,750,"水災、震災
"
東區,關聖社區活動中心,臺南市東區裕孝路118號,120.2434,22.9865,1000,"水災、震災
"
東區,後甲南聖里聯合社區活動中心,臺南市東區裕農路878號,120.2427,22.9895,650,"水災、震災
"
東區,復興國小風雨球場,臺南市東區裕文路60號,120.2387,22.9826,1000,"震災
"
東區,裕文國小(校舍與操場),臺南市東區裕文路301號,120.245741,22.982499,1700,"水災、震災
"
東區,東寧運動公園,臺南市東區東寧路與林森路二段路口,120.224271,22.992061,7700,"震災
"
東區,崇學國小操場,臺南市東區崇學路98號,120.2234,22.9796,1000,"震災
"
東區,東區區公所,臺南市東區崇學路100號,120.224015,22.980519,70,"水災、震災
"
東區,衛國里活動中心,臺南市東區衛國街114巷28號,120.2254,22.9879,400,"水災、震災
"
東區,富裕里活動中心,臺南市東區東門路二段365巷35號,120.2276,22.9847,400,"水災、震災
"
東區,富強里活動中心,臺南市東區裕農路446巷88號,120.2317,22.986,450,"水災、震災
"
東區,崇德里活動中心,臺南市東區崇德七街30巷2號,120.2281,22.9757,800,"水災、震災
"
東區,大學東寧聯合社區活動中心,臺南市東區林森路二段252號,120.2243,22.9921,900,"水災、震災
"
東區,虎尾里活動中心,臺南市東區富農街一段188巷10弄7號,120.2353,22.9815,400,"水災、震災
"
東區,和平里活動中心,臺南市東區文化路100號,120.2326,22.977,1450,"水災、震災
"
東區,大智里活動中心,臺南市東區德東街90號,120.2303,22.9615,650,"水災、震災
"
南區,新興國中,臺南市南區新孝路87號,120.186281,22.977712,5448,"水災、震災、海嘯
"
南區,大成國中,臺南市南區西門路一段306號,120.197787,22.978842,4741,"水災、震災 、海嘯
"
南區,台南高商,臺南市南區健康路一段327號,120.202298,22.981234,5532,"水災、震災、海嘯
"
南區,龍崗國小,臺南市南區鯤鯓路147號,120.169558,22.9615,667,"震災
"
南區,省躬國小,臺南市南區灣裡路70號,120.180404,22.932534,6528,"水災、震災、海嘯
"
南區,永華國小,臺南市南區中華西路一段2巷17號,120.186568,22.963703,4154,"水災、震災 、海嘯
"
南區,南區體育公園,臺南市南區體育路10號,120.205771,22.978253,11891,"震災
"
中西區,忠義國小,臺南市中西區忠義路二段2號,120.20315,22.989572,2459,"水災、震災
"
中西區,中山國中,臺南市中西區南寧街45號,120.203234,22.984803,4062,"水災、震災
"
中西區,協進國小,臺南市中西區金華路四段17號,120.194178,22.997195,2026,"水災、震災
"
北區,臺南市北區延平國中,臺南市北區大興里公園路750號,120.210511,23.009233,3376,"水災、震災
"
北區,臺南市北區民德國中,臺南市北區和順里西門路三段223號,120.205207,23.005276,700,"水災、震災
"
北區,臺南市北區文賢國中,臺南市北區雙安里文賢一路2號,120.195927,23.004117,2600,"水災、震災
"
北區,臺南市北區文元國小,臺南市北區元美里海安路三段815號,120.200369,23.01621,2600,"水災、震災
"
北區,臺南市北區開元國小,臺南市北區長勝里開元路71巷32號,120.21677,23.007132,800,"水災、震災
"
北區,臺南市北區公園國小,臺南市北區公園里公園路180號,120.208575,23.000391,1400,"水災、震災
"
北區,臺南市北區立人國小,臺南市北區立人里西門路三段41,120.201686,23.000539,1400,"水災、震災
"
北區,臺南市北區賢北國小,臺南市北區賢北里大興街599號,120.178873,23.007447,1320,"水災、震災
"
安平區,安平區公所,臺南市安平區育平路316號,120.168802,22.994806,198,水災 、震災、海嘯
